"I limit external distractions (social media, calls) in the 24 hours leading up to a game.",Never,Rarely,Sometimes,Always,Game Preparation
I pack my game bag the night before to reduce stress on game day.,Never,Rarely,Sometimes,Always,Game Preparation
I know the specific defensive assignments for my position in the core defensive sets.,Never,Rarely,Sometimes,Always,Game Preparation
I visualize myself successfully executing my role and responsibilities during the game.,Never,Rarely,Sometimes,Always,Game Preparation
"I make sure my equipment (shoes, braces) is in optimal condition before every game.",Never,Rarely,Sometimes,Always,Game Preparation
"I consume a planned, nutritious meal 2-3 hours before tip-off for energy.",Never,Rarely,Sometimes,Always,Game Preparation
I review my notes or mental cues on the opponent immediately before warm-ups.,Never,Rarely,Sometimes,Always,Game Preparation
"I engage in specific shooting drills designed to replicate game situations (e.g., off-screen, fatigued).",Never,Rarely,Sometimes,Always,Game Preparation
I manage my energy during warmups to peak physically at the start of the game.,Never,Rarely,Sometimes,Always,Game Preparation
I have a plan for how to attack the opposing team's weakest defender.,Never,Rarely,Sometimes,Always,Game Preparation
I immediately review my performance after the game to identify areas for quick correction.,Never,Rarely,Sometimes,Always,Game Preparation
I know the specific hand signals and verbal calls for our offensive and defensive sets.,Never,Rarely,Sometimes,Always,Game Preparation
I prioritize getting 7-9 hours of quality sleep for optimal physical and mental recovery.,Never,Rarely,Sometimes,Always,Recovery & Wellness
"I take active steps to manage stress and anxiety related to performance, such as journaling or meditation.",Never,Rarely,Sometimes,Always,Recovery & Wellness
I use post-practice nutrient timing (consuming protein/carbs) to accelerate muscle repair and energy replenishment.,Never,Rarely,Sometimes,Always,Recovery & Wellness
"I maintain consistent, proper hydration (water/electrolytes) throughout the day, not just during practice.",Never,Rarely,Sometimes,Always,Recovery & Wellness
"I eat a healthy, balanced diet to provide consistent energy for demanding training and games.",Never,Rarely,Sometimes,Always,Recovery & Wellness
"I properly cool down and utilize post-practice recovery methods (e.g., foam rolling, ice, stretching).",Never,Rarely,Sometimes,Always,Recovery & Wellness
I avoid checking social media or highly stimulating activities in the hour before bed to promote quality sleep.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I proactively address minor aches or injuries with a trainer/physio instead of ignoring them until they become major.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I practice mindfulness or deep breathing for 10 minutes daily to regulate my nervous system.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I schedule specific time for foam rolling or massage gun therapy on tight muscles.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I know and maintain a healthy weight and body composition for my position.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I monitor my energy levels and adjust my training intensity on days when I feel fatigued.,Never,Rarely,Sometimes,Always,Recovery & Wellness
"I utilize cold exposure (e.g., ice baths or cold showers) as a recovery aid after intense exercise.",Never,Rarely,Sometimes,Always,Recovery & Wellness
I track my sleep quantity and quality using a wearable device or a journal.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I take rest days completely off from physical activity to allow my body to fully repair.,Never,Rarely,Sometimes,Always,Recovery & Wellness
"I limit my intake of highly processed foods, sugars, and excessive caffeine.",Never,Rarely,Sometimes,Always,Recovery & Wellness
"I ensure I get sufficient Vitamin D, magnesium, and other essential micronutrients.",Never,Rarely,Sometimes,Always,Recovery & Wellness
"I seek professional help (counselor, sport psychologist) when mental health challenges affect my performance.",Never,Rarely,Sometimes,Always,Recovery & Wellness
"I perform joint-specific pre-habilitation exercises to strengthen vulnerable areas (e.g., ankles, knees).",Never,Rarely,Sometimes,Always,Recovery & Wellness
I use compression garments or devices to aid circulation and muscle recovery.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I actively plan out my meals to ensure nutritional needs are met throughout the season.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I take necessary steps to recover from jet lag or long travel times after road games.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I keep an updated record of any physical pains or discomforts to share with the medical staff.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I understand the importance of **Active Recovery** (light movement) on my off days.,Never,Rarely,Sometimes,Always,Recovery & Wellness
"I consciously limit screen time, especially during recovery periods.",Never,Rarely,Sometimes,Always,Recovery & Wellness
"I quickly move on from mistakes during a game, maintaining a 'next-play' mentality.",Never,Rarely,Sometimes,Always,Mindset & Focus
"I maintain a **growth mindset**, believing that my physical and mental basketball abilities can improve with effort.",Never,Rarely,Sometimes,Always,Mindset & Focus
I use **self-talk** (internal dialogue) to reinforce confidence and focus during high-pressure moments.,Never,Rarely,Sometimes,Always,Mindset & Focus
I practice **active listening** to fully process my coach's instructions and adjust my play accordingly.,Never,Rarely,Sometimes,Always,Mindset & Focus
I maintain a clear 'Why' (my purpose for playing) to provide motivation during difficult times.,Never,Rarely,Sometimes,Always,Mindset & Focus
"I set **SMART** goals (Specific, Measurable, Achievable, Relevant, Time-bound) for my performance.",Never,Rarely,Sometimes,Always,Mindset & Focus
"I focus on the coaching staff's instructions and my role, rather than external distractions (crowd, calls).",Never,Rarely,Sometimes,Always,Mindset & Focus
I manage my emotions effectively and rarely let frustration dictate my body language or effort.,Never,Rarely,Sometimes,Always,Mindset & Focus
I feel a high level of **self-efficacy** (belief in my ability to succeed) before tough competition.,Never,Rarely,Sometimes,Always,Mindset & Focus
"I define success based on my effort, preparation, and execution, not just the final score.",Never,Rarely,Sometimes,Always,Mindset & Focus
I use a specific **cue word** or phrase to quickly regain focus when distracted.,Never,Rarely,Sometimes,Always,Mindset & Focus
I celebrate small wins and milestones to maintain positive momentum and motivation.,Never,Rarely,Sometimes,Always,Mindset & Focus
I view setbacks or losses as learning opportunities rather than failures.,Never,Rarely,Sometimes,Always,Mindset & Focus
I actively encourage and provide positive reinforcement to my teammates.,Never,Rarely,Sometimes,Always,Mindset & Focus
"I maintain good non-verbal communication (eye contact, posture) to show coachability.",Never,Rarely,Sometimes,Always,Mindset & Focus
I clearly know the difference between 'good pressure' (challenging myself) and 'bad pressure' (fear of failure).,Never,Rarely,Sometimes,Always,Mindset & Focus
I have a ritual or routine for refocusing during a time-out or substitution.,Never,Rarely,Sometimes,Always,Mindset & Focus
I read books or listen to podcasts focused on sports psychology or mental toughness.,Never,Rarely,Sometimes,Always,Mindset & Focus
I use **reframing** techniques to turn negative thoughts into positive or neutral ones.,Never,Rarely,Sometimes,Always,Mindset & Focus
I am assertive in communicating my needs or concerns to my teammates and coaches respectfully.,Never,Rarely,Sometimes,Always,Mindset & Focus
"I practice dealing with adversity (e.g., bad call, missed shot) by controlling my immediate reaction.",Never,Rarely,Sometimes,Always,Mindset & Focus
I recognize and address feelings related to **Imposter Syndrome** (feeling incompetent despite success).,Never,Rarely,Sometimes,Always,Mindset & Focus
"I ensure my body language always projects confidence and engagement, regardless of the score.",Never,Rarely,Sometimes,Always,Mindset & Focus
I actively work to build chemistry and trust with every teammate on the roster.,Never,Rarely,Sometimes,Always,Mindset & Focus
I actively seek challenges that push me outside my comfort zone in competition.,Never,Rarely,Sometimes,Always,Mindset & Focus
"I effectively use pump fakes, jab steps, and pivots to create separation before shooting.",Never,Rarely,Sometimes,Always,Training Habits
"I practice shooting drills that require catching the ball on the move (e.g., off screens or cuts).",Never,Rarely,Sometimes,Always,Training Habits
I dedicate specific training sessions to improving my vertical jump and explosiveness.,Never,Rarely,Sometimes,Always,Training Habits
I consistently practice moving without the ball to set up scoring opportunities for myself or others.,Never,Rarely,Sometimes,Always,Training Habits
"I work on counter-moves (e.g., spin move after a drive) during my individual skill sessions.",Never,Rarely,Sometimes,Always,Training Habits
I practice handling the ball against physical pressure and contact.,Never,Rarely,Sometimes,Always,Training Habits
I track the percentage of my contested shots vs. open shots in practices/games.,Never,Rarely,Sometimes,Always,Training Habits
I spend time perfecting the specific type of defensive closeout our team requires.,Never,Rarely,Sometimes,Always,Training Habits
I seek out challenging 1-on-1 situations in practice to test my skills against top defenders/scorers.,Never,Rarely,Sometimes,Always,Training Habits
I adjust my shooting mechanics or footwork based on video analysis or coaching feedback.,Never,Rarely,Sometimes,Always,Training Habits
"I incorporate small-sided games (e.g., 2-on-2, 3-on-3) to improve decision-making under pressure.",Never,Rarely,Sometimes,Always,Training Habits
I practice transition defense drills specifically focusing on sprinting back to protect the rim.,Never,Rarely,Sometimes,Always,Training Habits
"I perform conditioning that mimics the stop-and-start nature of a game (e.g., suicides, interval training).",Never,Rarely,Sometimes,Always,Training Habits
I use plyometric training to improve my second jump ability for offensive/defensive rebounds.,Never,Rarely,Sometimes,Always,Training Habits
"I am consistent with my strength training form, prioritizing safety over lifting maximum weight.",Never,Rarely,Sometimes,Always,Training Habits
"I practice passing drills that require timing and precision (e.g., threading the needle in traffic).",Never,Rarely,Sometimes,Always,Training Habits
I work on specific ball-handling drills to simulate breaking a full-court press.,Never,Rarely,Sometimes,Always,Training Habits
I dedicate time to studying the footwork and moves of professional players at my position.,Never,Rarely,Sometimes,Always,Training Habits
I practice my weak-side defense and rotations during defensive drills.,Never,Rarely,Sometimes,Always,Training Habits
I actively practice communicating with my teammates about screens and cuts during drills.,Never,Rarely,Sometimes,Always,Training Habits
"I vary the defensive techniques I use in practice (e.g., hard hedge, drop coverage).",Never,Rarely,Sometimes,Always,Training Habits
I use movement drills to improve my acceleration and deceleration speed.,Never,Rarely,Sometimes,Always,Training Habits
I practice finishing drills that involve contact and shooting over taller players.,Never,Rarely,Sometimes,Always,Training Habits
I consciously focus on my posture and balance when shooting and driving.,Never,Rarely,Sometimes,Always,Training Habits
I perform drills to increase my passing range and accuracy over long distances.,Never,Rarely,Sometimes,Always,Training Habits
I review the team's defensive rules for guarding different types of screens (on-ball/off-ball).,Never,Rarely,Sometimes,Always,Tactical & IQ
I know the **emergency offense** or play we run when the shot clock is under 5 seconds.,Never,Rarely,Sometimes,Always,Tactical & IQ
I actively anticipate defensive rotations and position myself for extra passes or offensive rebounds.,Never,Rarely,Sometimes,Always,Tactical & IQ
"I understand how my specific position (e.g., Guard, Forward) needs to adjust based on the opposing team’s personnel.",Never,Rarely,Sometimes,Always,Tactical & IQ
I read the opposing defender’s feet or hips to anticipate their movement before I make my move.,Never,Rarely,Sometimes,Always,Tactical & IQ
"I adjust my shot selection (e.g., drive vs. pass) based on the flow and tempo of the game.",Never,Rarely,Sometimes,Always,Tactical & IQ
I know when and how to intentionally foul in end-of-game situations.,Never,Rarely,Sometimes,Always,Tactical & IQ
I understand the referee signals and rules well enough to avoid unnecessary fouls or technical errors.,Never,Rarely,Sometimes,Always,Tactical & IQ
I use my dribble effectively to draw help defenders and create open looks for my teammates.,Never,Rarely,Sometimes,Always,Tactical & IQ
I can recall and execute at least 5 different offensive sets called by the coach.,Never,Rarely,Sometimes,Always,Tactical & IQ
I recognize when an opponent is fatigued or in foul trouble and adjust my attack accordingly.,Never,Rarely,Sometimes,Always,Tactical & IQ
I actively communicate when a screen is coming to help my teammates defensively.,Never,Rarely,Sometimes,Always,Tactical & IQ
I review the team’s common turnover situations and plan how to avoid them in the future.,Never,Rarely,Sometimes,Always,Tactical & IQ
I am aware of the penalty situation (how many fouls our team has) to influence my defensive aggressiveness.,Never,Rarely,Sometimes,Always,Tactical & IQ
I know which player on the opposing team is the biggest threat and adjust my attention accordingly.,Never,Rarely,Sometimes,Always,Tactical & IQ
I check the scoreboard and game clock frequently to know exactly when to push the pace or slow down.,Never,Rarely,Sometimes,Always,Tactical & IQ
"I use the **SQ3R** method (Survey, Question, Read, Recite, Review) when studying scouting reports.",Never,Rarely,Sometimes,Always,Tactical & IQ
I understand the subtle differences between the offense we run in practice and how opponents actually defend it.,Never,Rarely,Sometimes,Always,Tactical & IQ
"I take calculated risks (e.g., steals, deep passes) only when the high reward justifies the risk.",Never,Rarely,Sometimes,Always,Tactical & IQ
I know the team's defensive rules for 'helping the helper' in rotation.,Never,Rarely,Sometimes,Always,Tactical & IQ
I understand the concept of 'spacing' and consistently position myself to maximize court geometry.,Never,Rarely,Sometimes,Always,Tactical & IQ
"I actively communicate defensive shifts (e.g., 'switch', 'ice', 'trap') to my teammates.",Never,Rarely,Sometimes,Always,Tactical & IQ
I recognize when the opponent is running their pet play and call it out to the team.,Never,Rarely,Sometimes,Always,Tactical & IQ
I understand the roles of each player on the floor during fast breaks.,Never,Rarely,Sometimes,Always,Tactical & IQ
I use the pick-and-roll specifically to create the most difficult shot for the defense.,Never,Rarely,Sometimes,Always,Tactical & IQ
I ensure I eat a pre-game snack rich in carbohydrates 1-2 hours before warm-ups.,Never,Rarely,Sometimes,Always,Game Preparation
I mentally rehearse my individual job for the first three possessions of the game.,Never,Rarely,Sometimes,Always,Game Preparation
I review my free throw routine mentally before stepping up to the line in a game.,Never,Rarely,Sometimes,Always,Game Preparation
I use a short **mindfulness or meditation session** to calm pre-game jitters.,Never,Rarely,Sometimes,Always,Game Preparation
"I watch film on my next opponent's individual player tendencies on defense (e.g., do they hedge, go under screens).",Never,Rarely,Sometimes,Always,Game Preparation
I adjust my warm-up routine based on whether I am starting or coming off the bench.,Never,Rarely,Sometimes,Always,Game Preparation
I limit conversation about non-game related topics in the locker room right before tip-off.,Never,Rarely,Sometimes,Always,Game Preparation
I ensure my shoes and gear are adjusted and feel right before I step onto the court for warm-ups.,Never,Rarely,Sometimes,Always,Game Preparation
"I visualize success not just for myself, but for the entire team executing the game plan.",Never,Rarely,Sometimes,Always,Game Preparation
I know the specific distance/location of my most efficient shot on the court.,Never,Rarely,Sometimes,Always,Game Preparation
I review the starting five's specific offensive plays and defensive calls.,Never,Rarely,Sometimes,Always,Game Preparation
"I have a dedicated hydration plan for consumption during the game (e.g., time/amount).",Never,Rarely,Sometimes,Always,Game Preparation
I avoid overly intense physical activities in the 48 hours leading up to a major game.,Never,Rarely,Sometimes,Always,Game Preparation
"I confirm the game time, location, and travel logistics well in advance.",Never,Rarely,Sometimes,Always,Game Preparation
I visualize myself successfully executing my role and responsibilities during the game's toughest moments.,Never,Rarely,Sometimes,Always,Game Preparation
I use music or silence as a tool to control my energy levels before the game.,Never,Rarely,Sometimes,Always,Game Preparation
I ensure my family/friends know my schedule to avoid game-day distractions.,Never,Rarely,Sometimes,Always,Game Preparation
"I review our team's in-game adjustment calls/signals (e.g., changing defense mid-possession).",Never,Rarely,Sometimes,Always,Game Preparation
I know the location of emergency medical staff or trainers at the venue.,Never,Rarely,Sometimes,Always,Game Preparation
I get a light stretch or foam roll session in the morning on game day.,Never,Rarely,Sometimes,Always,Game Preparation
I mentally review the opponents' key player tendencies just before stepping on the court.,Never,Rarely,Sometimes,Always,Game Preparation
"I have a consistent, small meal plan for half-time nutrition/energy.",Never,Rarely,Sometimes,Always,Game Preparation
"I perform a quick self-assessment (How is my body? How is my mind?) before the game starts.",Never,Rarely,Sometimes,Always,Game Preparation
"I confirm my defensive match-up and their tendencies with a coach or teammate.",Never,Rarely,Sometimes,Always,Game Preparation
I use the minutes on the bench to actively observe the game and opponent, not just rest.,Never,Rarely,Sometimes,Always,Game Preparation
I conduct a **body scan** during breaks or timeouts to identify areas of fatigue or tension.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I consume electrolytes and protein immediately after weight training sessions.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I take steps to manage feelings related to being **overtrained** or chronically sore.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I utilize heat (e.g., heating pad, hot shower) to relax muscles before mobility work.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I maintain a consistent, dedicated **wind-down routine** to improve sleep quality.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I avoid excessive screen time (phone, TV) in the two hours immediately following a tough loss.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I take a dedicated "mental health day" when I feel emotionally exhausted, if possible.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I actively monitor my heart rate variability (HRV) or resting heart rate as a marker of recovery.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I prioritize complex carbohydrates (e.g., whole grains) over simple sugars for sustained energy.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I carry a water bottle with me throughout the day to ensure continuous hydration.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I use an **anti-inflammatory diet** during heavy training periods to reduce joint soreness.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I schedule regular check-ups with a dentist and physician to maintain overall health.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I take nutritional supplements (vitamins, protein) under the guidance of a nutritionist or team doctor.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I understand the symptoms of concussions and immediately report potential head injuries.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I am proactive in finding time for social activities outside of basketball to maintain balance.,Never,Rarely,Sometimes,Always,Recovery & Wellness
I use the **"Power of the Pause"** (a few seconds to reset) after making a turnover or committing a foul.,Never,Rarely,Sometimes,Always,Mindset & Focus
I have a system for **setting intentions** (goals) for the practice or game ahead.,Never,Rarely,Sometimes,Always,Mindset & Focus
I use **anchoring** techniques (touching a jersey, specific stance) to trigger a confident mental state.,Never,Rarely,Sometimes,Always,Mindset & Focus
I consistently focus on the **process** (execution) rather than just the **outcome** (result).,Never,Rarely,Sometimes,Always,Mindset & Focus
I use **cognitive restructuring** to challenge and replace my negative inner thoughts with constructive ones.,Never,Rarely,Sometimes,Always,Mindset & Focus
I maintain the same high level of focus and energy whether I am playing 30 minutes or 3 minutes.,Never,Rarely,Sometimes,Always,Mindset & Focus
I effectively manage external criticism (fans, media) without letting it affect my confidence.,Never,Rarely,Sometimes,Always,Mindset & Focus
I define my own personal success metrics independent of scoring or statistics.,Never,Rarely,Sometimes,Always,Mindset & Focus
I use **time-outs** as an opportunity to actively listen and offer positive feedback, not complain.,Never,Rarely,Sometimes,Always,Mindset & Focus
I practice shifting my attention quickly from offense to defense (and vice versa).,Never,Rarely,Sometimes,Always,Mindset & Focus
I regularly spend time reflecting on *why* I love playing basketball to boost motivation.,Never,Rarely,Sometimes,Always,Mindset & Focus
I view challenges or slumps as temporary obstacles that I can overcome with discipline.,Never,Rarely,Sometimes,Always,Mindset & Focus
I hold myself **accountable** to the team standards, even when no one is watching.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I proactively welcome and mentor younger or less experienced teammates.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I communicate respectfully with referees, regardless of whether I agree with the call.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I actively address conflicts or tension between teammates in a constructive way.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I lead by example by being the first person in the gym and the last one to leave.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I am comfortable voicing unpopular but necessary truths to the team when needed.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I focus on positive communication and avoid blaming teammates after mistakes.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I take responsibility for my errors in front of the team and commit to fixing them.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I effectively use non-verbal cues (e.g., eye contact, hand signals) to lead teammates on the court.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I ensure I know the personal background or motivations of my teammates to build deeper trust.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I am a **servant leader**, focusing on what I can do to make my teammates better.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I consistently adhere to all team rules, curfews, and academic standards.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I make sure my teammates feel valued, regardless of their role or playing time.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I organize optional team workouts or film sessions outside of the mandatory schedule.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I step up to motivate the team when energy is low, even when I am personally struggling.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I treat team staff (trainers, managers) with the same respect as my head coach.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I ensure new or transfer players are quickly integrated into the team's culture.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I help mediate and resolve arguments or disagreements between teammates.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I practice leading team huddles or drills to develop my verbal communication skills.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I actively seek input from my teammates on improving team performance or culture.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I actively recruit other players to join the team's optional workouts.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I am a role model for ethical behavior and sportsmanship on and off the court.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I am vocal in calling out plays, assignments, and screens on the defensive end.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I encourage teammates who are struggling with shots or assignments.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
I effectively manage minor frustrations to avoid showing negative body language to my team.,Never,Rarely,Sometimes,Always,Leadership & Team Dynamics
Question,Option A,Option B,Option C,Option D,Category
I consistently plan my meals to optimize energy levels for match days and intense training sessions.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I strictly avoid highly processed foods and sugary drinks during the competitive season.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I ensure my pre-match meal (3-4 hours before kick-off) is high in complex carbohydrates.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I always consume electrolytes and water during and immediately after heavy training or games.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I regularly use protein shakes or high-protein snacks for muscle recovery post-exercise.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I track my daily water and fluid intake rigorously to maintain optimal hydration.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I am knowledgeable about the specific macronutrient ratios (carbs/protein/fat) needed for my sport.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
"I utilize anti-inflammatory foods (e.g., berries, fish oil) to aid joint and muscle recovery.",Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I monitor my caffeine intake to ensure it boosts performance without causing jitters or sleep issues.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I consume a high-quality post-match meal (within 60 minutes) to start the recovery process immediately.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I ensure my food choices support my sleep quality and recovery cycle.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
"I adapt my diet based on travel schedules (e.g., avoiding heavy foods before long flights).",Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
"I prioritize iron-rich foods (e.g., spinach, red meat) to prevent fatigue related to low iron.",Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I am diligent about consuming vegetables and fiber for gut health and immune support.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I believe consuming adequate healthy fats is crucial for long-term energy and hormone balance.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I always pack my own recovery snacks and meals to ensure nutritional compliance.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I have successfully eliminated foods that cause me inflammation or digestive issues before games.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I consume complex carbohydrates (like brown rice/quinoa) the night before a game (carb-loading).,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
"I know and stick to the ideal timing for my pre-training snacks (e.g., 30-60 minutes before).",Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
"I utilize different types of supplements (vitasins, minerals) under informed guidance.",Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
I adjust my calorie intake on rest days versus heavy training days.,Strongly Disagree,Disagree,Agree,Strongly Agree,Performance Nutrition & Fueling
