Question,Option A,Option B,Option C,Option D,Category
I focus on addressing the immediate problem and avoid bringing up past grievances during conflict.,Never,Rarely,Sometimes,Always,Conflict & Accountability
I document instances of repeated non-performance before escalating the issue to a supervisor/instructor.,Never,Rarely,Sometimes,Always,Conflict & Accountability
I take the lead in structuring the final presentation or report.,Never,Rarely,Sometimes,Always,Contribution & Initiative
"I seek out and integrate **external resources** (e.g., research, case studies) to enrich the project.",Never,Rarely,Sometimes,Always,Contribution & Initiative
"I consistently bring a positive, solution-oriented attitude to group meetings.",Never,Rarely,Sometimes,Always,Contribution & Initiative
I actively work to ensure every group member understands their value and contribution.,Never,Rarely,Sometimes,Always,Contribution & Initiative
"I offer technical expertise (e.g., formatting, data analysis, graphic design) if it benefits the final product.",Never,Rarely,Sometimes,Always,Contribution & Initiative
I identify and fill knowledge gaps within the group by offering to learn new skills.,Never,Rarely,Sometimes,Always,Contribution & Initiative
I take on the role of 'devil's advocate' to test the weaknesses of the group's core strategy.,Never,Rarely,Sometimes,Always,Contribution & Initiative
"I ensure that creative ideas generated by the group are captured and reviewed, not dismissed.",Never,Rarely,Sometimes,Always,Contribution & Initiative
I facilitate brainstorming sessions when the group gets stuck on a problem.,Never,Rarely,Sometimes,Always,Contribution & Initiative
"I set small, internal **milestones** to maintain momentum and celebrate small successes.",Never,Rarely,Sometimes,Always,Contribution & Initiative
I proactively look for ways to simplify complex processes for the benefit of the group.,Never,Rarely,Sometimes,Always,Contribution & Initiative
I take the initiative to reach out to external stakeholders (if applicable) for information.,Never,Rarely,Sometimes,Always,Contribution & Initiative
I contribute my fair share of the work and avoid relying on others to pick up my slack.,Never,Rarely,Sometimes,Always,Contribution & Initiative
I focus on finding ways to improve the group's **efficiency** over multiple tasks/projects.,Never,Rarely,Sometimes,Always,Contribution & Initiative
I ensure that our final deliverable is polished and professionally presented.,Never,Rarely,Sometimes,Always,Contribution & Initiative
I actively check in with teammates outside of scheduled meetings to see if they need assistance.,Never,Rarely,Sometimes,Always,Contribution & Initiative
"I contribute ideas aimed at improving the *process* of how we work together, not just the *content*.",Never,Rarely,Sometimes,Always,Contribution & Initiative
I manage the team's internal documentation and knowledge base effectively.,Never,Rarely,Sometimes,Always,Contribution & Initiative
I take the lead in ensuring the group is prepared for any formal presentation or defense.,Never,Rarely,Sometimes,Always,Contribution & Initiative
I introduce relevant data or evidence to support my proposed course of action.,Never,Rarely,Sometimes,Always,Contribution & Initiative
I make an effort to recognize and leverage the **strengths** of different group members.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
"I adapt my working style (e.g., remote vs. in-person, flexible vs. structured) to the needs of the group.",Never,Rarely,Sometimes,Always,Team Dynamics & EI
I actively seek to understand the perspectives of teammates whose views differ significantly from mine.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
I recognize when a teammate is experiencing stress or burnout and offer support.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
I foster a climate of **psychological safety** where others feel comfortable taking risks.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
"I consciously minimize distractions (e.g., phone use) during group work sessions.",Never,Rarely,Sometimes,Always,Team Dynamics & EI
I am empathetic when listening to a teammate explain a personal difficulty or roadblock.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
I maintain focus and redirect conversations gently when they drift off-topic.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
I ensure that credit for successful outcomes is shared equally among all contributors.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
"I proactively define our group's **team norms** (e.g., how decisions are made, meeting etiquette).",Never,Rarely,Sometimes,Always,Team Dynamics & EI
I check in with quiet or reserved members to make sure their voice is heard.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
I try to find common ground or consensus before moving forward with major decisions.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
"I maintain an optimistic and encouraging tone, especially when the project faces challenges.",Never,Rarely,Sometimes,Always,Team Dynamics & EI
I help the group reflect on what worked well and what didn't after a milestone is reached.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
I understand and respect the cultural differences or different professional backgrounds of my teammates.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
I ensure that group decisions are made through a fair and transparent process.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
I use humor appropriately to lighten the mood or ease tension.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
I actively build rapport by getting to know my teammates on a personal level (within professional bounds).,Never,Rarely,Sometimes,Always,Team Dynamics & EI
I encourage the group to take necessary breaks during long work sessions.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
I effectively manage my own emotional reactions when faced with criticism.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
"I am aware of the non-verbal cues (e.g., frustration, confusion) exhibited by my teammates.",Never,Rarely,Sometimes,Always,Team Dynamics & EI
I prioritize the success of the overall team over my individual recognition.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
I try to involve all relevant members in decision-making processes.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
I define and agree on a clear process for handling emergency situations or unforeseen problems.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
I show appreciation for the contributions of others through explicit verbal recognition.,Never,Rarely,Sometimes,Always,Team Dynamics & EI
