Question,Option A,Option B,Option C,Option D,Category
I incorporate student voice and choice into assignments or classroom routines when appropriate.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I use **data analysis** (e.g., item analysis on tests) to identify specific areas for reteaching.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I keep digital records of student data and feedback organized and accessible.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I regularly seek out mentorship or coaching from more experienced colleagues.,Never,Rarely,Sometimes,Always,Professional Development
I clearly communicate to students the *purpose* behind the learning activities we do.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I use **wait time** after asking a question to encourage deeper thinking from all students.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I make intentional efforts to build bridges between my content area and other subjects (interdisciplinary).,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I assign homework that is meaningful and reinforces learning, rather than busywork.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I provide scaffolds (temporary supports) for new skills and fade them out as students become proficient.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I use positive "I Notice" statements to affirm student effort and persistence.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I design lesson closures (e.g., wrap-ups, reviews) that synthesize the day's key takeaways.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I ensure students have access to a variety of resources (physical, digital, human) to support their learning.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I use equitable grading practices that measure learning and minimize the impact of non-academic factors.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I conduct regular checks for understanding using methods that require *all* students to respond (e.g., whiteboards, polling).,Never,Rarely,Sometimes,Always,Assessment & Feedback
I involve students in setting behavioral goals or creating classroom norms.,Never,Rarely,Sometimes,Always,Classroom Management
I explicitly teach students how to work collaboratively and productively in groups.,Never,Rarely,Sometimes,Always,Classroom Management
I make sure my verbal and non-verbal communication conveys high expectations for *all* students.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I ensure my assessments offer students multiple ways to demonstrate their learning.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I actively manage classroom materials and supplies to reduce lost instruction time.,Never,Rarely,Sometimes,Always,Classroom Management
I vary the level of complexity in questions I ask throughout a lesson (e.g., Bloom's Taxonomy).,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I use a clear system for tracking and addressing student work that has not been submitted.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I allocate time in my schedule specifically for professional reading or research on effective pedagogy.,Never,Rarely,Sometimes,Always,Professional Development
I regularly reflect on the alignment between my instructional goals and the actual learning outcomes.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I consistently use an objective system for calling on students to promote equitable participation.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I proactively address student needs based on their Individualized Education Programs (IEPs) or 504 plans.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I differentiate the **process** (how students learn) in my lessons, not just the product (what they produce).,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I review student work samples *before* the next lesson to inform my instructional adjustments.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I use student-friendly language when communicating expectations, procedures, and feedback.,Never,Rarely,Sometimes,Always,Classroom Management
I utilize routines and signals to transition students smoothly and quickly between activities.,Never,Rarely,Sometimes,Always,Classroom Management
I effectively use anecdotal notes or observation logs to track individual student growth beyond grades.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I feel confident that my classroom is a safe and intellectually risk-free environment for students.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I dedicate time to learn about my students' cultural backgrounds and incorporate those insights into lessons.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I seek feedback on my teaching from a peer or administrator at least once per semester.,Never,Rarely,Sometimes,Always,Professional Development
I analyze the **effectiveness of my feedback** by observing how students incorporate it into future work.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I structure my lessons to allow students time for independent, silent reading or reflection.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I explicitly model *what* high-quality work looks like before asking students to produce it.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I use effective questioning techniques that probe beyond surface-level recall.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I communicate with colleagues about a student's success or positive growth, not just concerns.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I use a system to track student engagement (e.g., participation charts) to ensure equity in my classroom.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I intentionally plan for and teach **academic vocabulary** relevant to the content.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I prioritize tackling challenging professional tasks (like difficult parent calls) early in the week.,Never,Rarely,Sometimes,Always,Professional Development
I have a consistent, fair plan for handling **late work** that encourages submission without punitive grading.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I ensure my substitute teacher plans are detailed, easy to follow, and minimize lost learning time.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I reflect on how my teaching practices impact student confidence and sense of belonging.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I manage my emotional responses when students are disrespectful or disruptive.,Never,Rarely,Sometimes,Always,Classroom Management
I proactively teach students how to use technology tools needed for the course, rather than assuming they know.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I provide targeted opportunities for students to **practice metacognition** (thinking about their thinking).,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I design my lessons to incorporate relevant community or global issues.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I regularly update my digital learning platform (LMS) with current assignments and resources.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I review my curriculum maps or long-term scope and sequence at least quarterly for necessary adjustments.,Never,Rarely,Sometimes,Always,Professional Development
I use **interest surveys** or similar tools to get to know my students at the start of the year.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I allow students to provide **peer feedback** on rough drafts, using clear criteria.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I vary my grouping strategies (e.g., random, skill-based, interest-based) during collaborative activities.,Never,Rarely,Sometimes,Always,Classroom Management
I ensure students understand *why* they are receiving a particular grade, not just what the score is.,Never,Rarely,Sometimes,Always,Assessment & Feedback
I utilize school-wide or department data to benchmark and adjust my expectations or curriculum.,Never,Rarely,Sometimes,Always,Professional Development
I have a plan for connecting with and supporting students who are chronically absent.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I am intentional about making my classroom space aesthetically appealing and functional.,Never,Rarely,Sometimes,Always,Classroom Management
I ensure that my grading workload does not negatively impact my ability to plan engaging lessons.,Never,Rarely,Sometimes,Always,Professional Development
I frequently use **checklists or graphic organizers** to support student planning and execution of complex tasks.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I explicitly teach students how to manage resources and time for long-term projects.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I make it a point to highlight student achievements and contributions in front of peers and administration.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I consciously use **differentiated questioning** to challenge high-achieving students and support struggling ones.,Never,Rarely,Sometimes,Always,Lesson Planning & Delivery
I collaborate with **special education or ESL staff** to ensure my plans meet diverse student needs.,Never,Rarely,Sometimes,Always,Student Relationships & Equity
I regularly review and update my knowledge of relevant child development or adolescent psychology.,Never,Rarely,Sometimes,Always,Professional Development
