Question,Option A,Option B,Option C,Option D,Category
I enjoy studying the history and regional variations of my favorite cuisines.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
"I prefer single-origin, specific ingredients (e.g., Japanese A5 Wagyu) over generic varieties.",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I actively seek out unique or rare fresh produce at farmer's markets.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
"I consider texture (e.g., crunchy, creamy, chewy) an essential part of the eating experience.",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
"I enjoy drinking natural, raw, or complex wines and craft beers with unusual flavor notes.",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I have a dedicated palate for distinguishing different types of cheeses or cured meats.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
"I would choose a new, experimental dish over a familiar comfort food.",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I keep track of seasonal ingredients and plan my meals around what is currently in season.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
"I appreciate bitter flavors (e.g., endive, dark chocolate) in my food and drinks.",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I am confident in identifying herbs and spices just by smell.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
"I prefer complex, layered flavor profiles over simple, mono-flavor dishes.",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I believe cilantro tastes like soap.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I actively seek out dishes that use offal or secondary cuts of meat.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
"I enjoy incorporating different types of fats (e.g., lard, duck fat, olive oil) into my cooking.",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
"I prefer meals that include both sweet and savory elements (e.g., prosciutto with melon).",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I have traveled specifically for the purpose of experiencing a regional cuisine.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I enjoy dishes where the primary flavor is intensely umami.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
"I have a dedicated source (e.g., a specific butcher, bakery) for high-quality food staples.",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I enjoy the process of making fresh pasta from scratch.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
"I prefer acidic and light desserts over rich, heavy ones.",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I actively try to reduce food waste in my kitchen.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
"I am capable of identifying different types of salt (e.g., sea salt, kosher, fleur de sel).",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I prefer to eat my food slowly and mindfully to fully appreciate the taste.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I am interested in molecular gastronomy and experimental food techniques.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I believe breakfast should be the largest meal of the day.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I can identify the main components of a dish after just one bite.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I buy whole spices and grind them myself for maximum flavor.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
"I have specific, preferred methods for storing different types of produce to maximize freshness.",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
I prefer a dish that is culturally authentic over one that is fusion or modernized.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Preferences & Exploration
"I follow more than five food-related blogs, social media accounts, or YouTube channels.",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
"I regularly watch competitive cooking shows (e.g., Top Chef, MasterChef) for entertainment and inspiration.",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
I have read at least three books dedicated solely to food history or culinary science.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
"I use food apps (e.g., Yelp, OpenTable) daily to plan my meals or reservations.",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
I trust the reviews of professional food critics over online user ratings.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
I can confidently name several famous chefs and their signature restaurants.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
"I believe food documentation (e.g., Netflix specials) enhances the eating experience.",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
I keep up with new restaurant openings and food trends in my area.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
I regularly recommend recipes or dining spots to my friends and family.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
"I know the difference between regional BBQ styles (e.g., Carolina vs. Texas).",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
I have participated in online debates or discussions about food-related controversies.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
I seek out food markets or specialty stores based on media recommendations.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
I have a dedicated collection of physical cookbooks.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
I enjoy watching videos of intricate cooking or food preparation techniques.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
I believe social media has negatively impacted authentic dining culture.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
"I know the meaning of common French culinary terms (e.g., confit, velouté, chiffonade).",Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
I seek out films or documentaries specifically about international food traditions.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
I enjoy browsing specialty food websites for rare or imported ingredients.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
I have read *The Physiology of Taste* or a similar foundational text on gastronomy.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
I use food as a primary lens through which to experience different cultures when traveling.,Strongly Disagree,Disagree,Agree,Strongly Agree,Food Culture & Media
I consistently choose organic and locally sourced produce.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
"I follow a specific, self-imposed diet (e.g., Keto, Vegan, Paleo) for health or ethical reasons.",Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I actively reduce my meat consumption for environmental or health reasons.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I prioritize meals that focus on high nutrient density over high caloric density.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I believe in the 'no food waste' philosophy and actively use leftovers creatively.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I am knowledgeable about the health benefits and risks associated with different food groups.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
"I consciously practice mindful eating, savoring each bite and stopping when full.",Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I am concerned about the ethical treatment of farm animals and choose meat/dairy accordingly.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
"I avoid highly processed foods and prioritize whole, single-ingredient meals.",Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
"I consciously choose sustainably sourced seafood (e.g., following Monterey Bay Aquarium guidelines).",Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I frequently prepare meals that cater to specific food allergies or sensitivities (my own or others).,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I believe in paying a fair price that reflects ethical labor practices in food production.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I have a dedicated day of the week where I practice intermittent fasting or calorie restriction.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
"I consider the environmental impact (e.g., carbon footprint) when selecting my meals.",Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I try to eliminate added sugars from my daily diet.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I prioritize cooking methods that retain the maximum amount of vitamins and nutrients.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I believe in the 'everything in moderation' approach to eating.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I am well-informed about GMOs and their role in the food supply.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
"I consider the source of my water (e.g., filtered, spring, tap) to be important.",Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I consciously try to eat the full spectrum of colorful fruits and vegetables daily.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I donate to or volunteer with organizations focused on food security or sustainability.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I have successfully eliminated caffeine or alcohol from my diet for extended periods.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I avoid buying pre-cut or pre-made ingredients for the sake of freshness.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I prioritize fermented foods and probiotics for gut health.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
I believe my local farmer's market is a primary source for groceries.,Strongly Disagree,Disagree,Agree,Strongly Agree,Wellness & Ethics
